StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      110,      00,   195404,    2.4,  54.18,  -4.29,  -4.29,  -1.31,  -4.29,     54,    278,   -.24,    -.6,  -1.41,    -.8,  -1.82,  -1.52,  -1.81,  41.13,  67.21,
      110,      00,   195405,   2.69,  58.59,  -3.82,  -3.82,    .09,  -3.73,     67,    205,   -.44,   -.45,    -.7,   -.68,  -1.65,   -1.7,  -1.73,   45.7,  71.46,
      110,      00,   195406,    2.5,  68.85,   -3.8,   -3.8,  -1.12,   -3.8,    232,     40,     -1,   -.92,   -.85,  -1.12,  -1.29,  -1.68,   -1.7,  55.83,  81.86,
      110,      00,   195407,   2.01,  75.47,  -4.33,  -4.33,  -2.76,  -4.33,    349,     10,  -2.17,  -1.75,  -1.51,  -1.67,  -1.34,  -1.86,  -1.79,  61.65,  89.29,
      110,      00,   195408,   2.52,  72.18,   -4.3,   -4.3,  -1.24,   -4.3,    288,     24,   -.26,  -1.59,  -1.64,  -1.41,  -1.27,  -1.82,  -1.86,  59.02,  85.33,
      110,      00,   195409,   1.95,  66.45,  -4.62,  -4.62,  -2.28,  -4.62,    189,     66,  -1.18,  -1.05,   -1.9,  -1.61,  -1.72,  -1.69,  -1.76,  52.77,  80.11,
      110,      00,   195410,   2.35,  54.68,  -4.04,  -4.04,    .29,  -3.88,     55,    244,    .25,   -.49,   -.56,  -1.35,   -1.6,  -1.41,  -1.34,  42.13,  67.23,
      110,      00,   195411,   1.54,  44.06,  -4.62,  -4.62,  -2.98,  -4.62,      9,    553,  -1.16,   -.61,   -.98,  -1.55,  -1.52,  -1.49,  -1.49,  32.05,  56.07,
      110,      00,   195412,      2,  33.91,  -5.13,  -5.13,  -2.95,  -5.13,      3,    835,   -.67,  -1.22,   -.81,   -1.5,  -1.52,  -1.68,  -1.66,  23.32,  44.47,
      110,      00,   195501,   1.69,  29.35,  -5.89,  -5.89,  -3.87,  -5.89,      5,    952,  -1.16,   -1.2,  -1.59,  -1.36,  -1.78,   -1.9,  -1.87,  19.44,  39.27,
